Year,scale_count,setting_count,,,APGAR,,,,Premature birth,,premature infant*'[MeSH] AND Medline[sb],,,,'Newborn*'[ALL] AND Medline[SB]
1960,1,1417,,,1,,,,12,,276,,,,1417
1961,1,1406,,,1,,,,3,,237,,,,1406
1962,4,1609,,,4,,,,11,,252,,,,1609
1963,5,3522,,,5,,,,14,,513,,,,3522
1964,5,5861,,,5,,,,18,,680,,,,5861
1965,4,5449,,,4,,,,5,,523,,,,5449
1966,15,5763,,,15,,,,5,,527,,,,5763
1967,7,6381,,,7,,,,5,,566,,,,6381
1968,8,7014,,,8,,,,9,,596,,,,7014
1969,9,7241,,,9,,,,6,,663,,,,7241
1970,7,7479,,,7,,,,5,,589,,,,7479
1971,9,7840,,,9,,,,9,,649,,,,7840
1972,11,8258,,,11,,,,13,,622,,,,8258
1973,11,8009,,,11,,,,16,,732,,,,8009
1974,29,8298,,,29,,,,6,,630,,,,8298
1975,64,8629,,,64,,,,25,,752,,,,8629
1976,74,8932,,,74,,,,36,,827,,,,8932
1977,73,9148,,,73,,,,27,,841,,,,9148
1978,80,9314,,,80,,,,25,,785,,,,9314
1979,91,10032,,,91,,,,20,,946,,,,10032
1980,107,9692,,,107,,,,35,,913,,,,9692
1981,77,10020,,,77,,,,43,,925,,,,10020
1982,108,10866,,,108,,,,25,,1090,,,,10866
1983,114,11173,,,114,,,,19,,1180,,,,11173
1984,112,11639,,,112,,,,30,,1158,,,,11639
1985,118,11497,,,118,,,,26,,1268,,,,11497
1986,114,11613,,,114,,,,35,,1386,,,,11613
1987,154,10932,,,154,,,,31,,1317,,,,10932
1988,153,11696,,,153,,,,36,,1301,,,,11696
1989,197,12263,,,197,,,,39,,1421,,,,12263
1990,184,12608,,,184,,,,49,,1430,,,,12608
1991,174,12431,,,174,,,,58,,1367,,,,12431
1992,203,12866,,,203,,,,61,,1532,,,,12866
1993,195,13504,,,195,,,,55,,1670,,,,13504
1994,173,13553,,,173,,,,60,,1537,,,,13553
1995,177,13699,,,177,,,,46,,1535,,,,13699
1996,186,13026,,,186,,,,53,,1400,,,,13026
1997,235,13479,,,235,,,,56,,1503,,,,13479
1998,218,13552,,,218,,,,77,,1697,,,,13552
1999,213,13683,,,213,,,,58,,1553,,,,13683
2000,265,14483,,,265,,,,75,,1773,,,,14483
2001,219,14612,,,219,,,,66,,1806,,,,14612
2002,235,14630,,,235,,,,71,,1783,,,,14630
2003,262,15369,,,262,,,,95,,2011,,,,15369
2004,256,16429,,,256,,,,231,,2206,,,,16429
2005,294,17577,,,294,,,,429,,2216,,,,17577
2006,340,18477,,,340,,,,502,,2349,,,,18477
2007,316,19430,,,316,,,,571,,2433,,,,19430
2008,309,20463,,,309,,,,659,,2650,,,,20463
2009,358,20468,,,358,,,,807,,2851,,,,20468
2010,402,21245,,,402,,,,1000,,3145,,,,21245
2011,414,22094,,,414,,,,1272,,3467,,,,22094
2012,445,22962,,,445,,,,1313,,3767,,,,22962
2013,480,23243,,,480,,,,1380,,4047,,,,23243
2014,490,23828,,,490,,,,1460,,4129,,,,23828
2015,601,24420,,,601,,,,1611,,4157,,,,24420
2016,581,24628,,,581,,,,1670,,4335,,,,24628
2017,618,24494,,,618,,,,1627,,4492,,,,24494
2018,576,25124,,,576,,,,1663,,4763,,,,25124
2019,626,26207,,,626,,,,1841,,5200,,,,26207
2020,706,27765,,,706,,,,2385,,5844,,,,27765
2021,777,26923,,,777,,,,2700,,6532,,,,26923
2022,825,22808,,,825,,,,2958,,6637,,,,22808
2023,690,20055,,,690,,,,2707,,5922,,,,20055
2024,363,10584,,,363,,,,1160,,2690,,,,10584
